Date,UK,Germany,France,Japan,DJI,SP500,Italy,Spain,Sweden,Switzerland,Belgium,Greece,China,Korea,Australia,Mexico,Brazil
731220,5323.799805,5318.72998,4682.790039,10871.490234,10259.740234,1172.51001,32625,8463.099609,869.45,6392.899902,2708.830078,2646.38,1611.39,747.719971,3374.300049,6612.080078,14332
731223,5293.600098,5232.220215,4615.540039,10942.360352,10197.049805,1164.890015,32330,8177.299805,864.56,6384.399902,2692.47998,2638.19,1596.76,751.47998,3385.300049,6565.439941,14379
731224,5250.399902,5236.370117,4568.089844,10695.599609,10150.549805,1160.709961,32493,8186.600098,843.45,6313.899902,2680.26001,2601.51,1583.46,734.76001,3364.199951,6641.140137,14168
731225,5228.5,5288.209961,4587.009766,10663.980469,10094.089844,1155.140015,32661,8066.100098,842.07,6360.299805,2678.139893,2582.26,1561.35,751.609985,3354.899902,6560.580078,14021
731226,5190.700195,5228.109863,4515.52002,10538.429688,10067.860352,1156.550049,31966,7935.399902,828.84,6363.700195,2668.26001,2587.41,1576.44,728.22998,3351.800049,6453.009766,13570
731227,5198.600098,5209.970215,4554.689941,10441.589844,9987.530273,1145.599976,32176,7983.100098,838.23,6416.399902,2661.590088,2574.68,1535.59,727.359985,3360.100098,6420.149902,13587
731231,5166,5062.040039,4518.419922,10208.049805,9924.150391,1146.189941,31795,7948.700195,800.16,6292.299805,2658.77002,2521.63,1459.65,718.640015,3348.699951,6573.189941,13011
731232,5127.600098,4984.200195,4425.5,10177.580078,9712.269531,1127.569946,31307,7804.100098,785.52,6238.899902,2646.02002,2502.18,1479.62,710.950012,3367.199951,6579.350098,13084
731233,5138.5,5133.399902,4475.640137,10128.179688,9850.040039,1138.880005,31693,7977.5,797.87,6320,2707.620117,2561.67,1419.52,713.5,3336.199951,6604.660156,13337
731234,5126.799805,5122.22998,4448.850098,10293.320312,9771.849609,1127.579956,31798,8008.799805,792.24,6294.200195,2729.97998,2559.94,1415.44,708.469971,3331.199951,6600.72998,13373
731238,5149.200195,5045.720215,4446.720215,10050.980469,9713.799805,1119.310059,31639,8033.100098,787.56,6266.299805,2736.219971,2563.17,1358.69,724.359985,3362.600098,6590.040039,13004
731239,5180.700195,5163.029785,4450.810059,10040.910156,9730.959961,1128.180054,31734,8078.299805,789.91,6310,2771.030029,2597.38,1444.96,742.619995,3363.699951,6782.779785,13232
731240,5233.100098,5170.439941,4508.069824,10074.049805,9796.070312,1132.150024,31993,8213.299805,799.14,6390.899902,2810.669922,2620.92,1456.4,757.710022,3371.899902,6768.299805,13162
731245,5131.399902,5084.52002,4476.100098,10026.030273,9618.240234,1100.640015,32266,8178.399902,768.18,6324.100098,2790.050049,2625.4,1392.78,774.030029,3392.699951,6793.379883,12501
731246,5089.299805,5052.200195,4407.27002,9919.480469,9762.860352,1113.569946,32049,8019.700195,754.97,6212.399902,2738.090088,2595.87,1396.6,749.450012,3374.199951,6750.799805,12532
731247,5164.799805,5107.609863,4461.870117,9997.799805,9920,1130.199951,32171,8050.399902,782.02,6237.299805,2764.209961,2596.75,1491.67,748.070007,3404,6927.870117,12721
731248,5189.700195,5097.060059,4455.560059,9791.429688,9907.259766,1122.199951,32117,8171.100098,784.49,6234.600098,2773.719971,2595.71,1485.77,742.419983,3386,6901.810059,12659
731251,5167.299805,4984.47998,4397.540039,9631.929688,9687.089844,1094.439941,31593,8014.299805,785.11,6196.600098,2794.820068,2588.98,1511.33,730.210022,3405.699951,6865.129883,12513
731253,5073.799805,4804.410156,4273.810059,9420.849609,9653.389648,1083.51001,30524,7708.100098,769.89,6105.200195,2738.600098,2551.97,1485.8,741.549988,3368.600098,6786.740234,12751
731254,5127,4862.620117,4295.649902,9583.269531,9625.44043,1080.170044,30707,7872.399902,774.53,6227.200195,2747.98999,2546.93,1515.39,727.710022,3358.800049,6780.939941,12684
