Date,UK,Germany,France,Japan,DJI,SP500,Italy,Spain,Sweden,Switzerland,Belgium,Greece,China,Korea,Australia,Mexico,Brazil
732316,4847,4290.5,3863.300049,11517.75,10630.780273,1188.050049,31094,9120,753.56,5775.5,2987.090088,2832.57,1242.77,886.900024,4060.699951,12777.129883,24848
732317,4806,4258.240234,3829.360107,11437.519531,10597.830078,1183.73999,30976,9024.400391,745.23,5725.5,2971.790039,2818.33,1251.94,885.190002,4043.399902,12591.330078,24692
732319,4854.100098,4316.399902,3877.959961,11433.240234,10603.959961,1186.189941,31128,9041.099609,748.02,5735.200195,3002.649902,2849.31,1244.75,870.840027,4062.800049,12453.330078,24747
732323,4818.700195,4258.009766,3848.98999,11539.990234,10556.219727,1182.98999,30740,8966.400391,747.8,5713.100098,2980.22998,2849.07,1257.46,884.289978,4070.300049,12216.799805,24370
732324,4783.600098,4208.819824,3816.139893,11453.389648,10617.780273,1187.699951,30645,8945.700195,734.31,5669.600098,2973.919922,2863.64,1256.92,880.030029,4068.300049,12329.160156,24510
732325,4800.299805,4212.140137,3834.110107,11358.219727,10505.830078,1177.449951,30863,9016.799805,737.36,5687.799805,2959.719971,2892.45,1256.31,885.539978,4069.100098,12462.900391,24806
732326,4820.799805,4232.359863,3854.600098,11438.389648,10558,1184.52002,31056,9025.099609,742.63,5730.100098,2958.790039,2887.86,1245.62,905.099976,4062.899902,12694.740234,24924
732330,4823.899902,4250.709961,3875.02002,11423.259766,10628.790039,1195.97998,31094,9096.900391,746.16,5739.399902,2969.48999,2832.73,1225.45,920.570007,4065.5,13029.700195,24089
732331,4818.299805,4245.549805,3869.01001,11405.339844,10539.969727,1184.630005,31221,9087.599609,746.09,5749.5,2967.290039,2879.18,1218.11,916.27002,4055.699951,13035.80957,24271
732332,4800.799805,4220.430176,3842.439941,11284.769531,10471.469727,1175.410034,31132,9017.700195,736.87,5728.100098,2962.399902,2891.6,1204.39,909.369995,4038.5,12769.990234,23610
