Date,UK,Germany,France,Japan,DJI,SP500,Italy,Spain,Sweden,Switzerland,Belgium,Greece,China,Korea,Australia,Mexico,Brazil
734142,5500.299805,6048.299805,4013.969971,10654.790039,10583.959961,1132.98999,23545,12145.099609,963.56,6631.399902,2563.969971,2189.72,3243.76,1696.140015,4889.799805,32758.529297,70045
734143,5522.5,6031.859863,4012.909912,10681.830078,10572.019531,1136.52002,23555.7,12204.400391,967.272,6579.299805,2587.77002,2277.6,3282.18,1690.619995,4939.5,32732.759766,70240
734145,5526.700195,6019.359863,4024.800049,10681.660156,10606.860352,1141.689941,23709,12166.299805,965.821,6555.399902,2590.679932,2310.11,3192.78,1683.449951,4930.5,33064.570312,70451
734146,5534.200195,6037.609863,4045.139893,10798.320312,10618.19043,1144.97998,23811.1,12163,968.773,6617.899902,2591.639893,2327.57,3196,1695.26001,4942.200195,32892.039062,70263
734150,5498.700195,5943,4000.050049,10879.139648,10627.259766,1136.219971,23583.3,11966.099609,969.55,6541.899902,2565.050049,2199.53,3273.97,1698.640015,4931.600098,32792.660156,70076
734151,5473.5,5963.140137,4000.860107,10735.030273,10680.769531,1145.680054,23658.4,11958.299805,974.959,6554.5,2575.110107,2173.67,3172.66,1671.410034,4900.100098,32836.078125,70385
734152,5498.200195,5988.879883,4015.77002,10907.679688,10710.549805,1148.459961,23806,11999.799805,981.502,6627.399902,2571.370117,2195.41,3215.55,1685.77002,4929.399902,32729.580078,69801
734153,5455.399902,5875.970215,3954.379883,10982.099609,10609.650391,1136.030029,23472.1,11845,978.279,6576,2536.449951,2144.56,3224.15,1701.800049,4929.5,32262.300781,68978
734157,5513.100098,5976.47998,4009.669922,10764.900391,10725.429688,1150.22998,23705.7,12022.599609,976.001,6633.899902,2547.360107,2101.54,3246.87,1710.219971,4889.600098,32473.050781,69909
734158,5420.799805,5851.529785,3928.949951,10737.519531,10603.150391,1138.040039,23126,11709,957.533,6586.5,2516.679932,2030.28,3151.85,1714.380005,4895.100098,32025.339844,68200
734159,5335.100098,5746.970215,3862.159912,10868.410156,10389.879883,1116.47998,22876.5,11444,954.016,6579,2484.26001,2013.9,3158.86,1722.01001,4849.600098,31205.300781,66270
734160,5303,5695.319824,3820.780029,10590.549805,10172.980469,1091.76001,22567.8,11373.400391,951.062,6494,2475.810059,2033.76,3128.59,1684.349976,4771.899902,30830.910156,66220
734165,5217.5,5643.200195,3759.800049,10252.080078,10236.160156,1097.5,21997.6,11042.200195,946.701,6473,2493.669922,1972.93,2986.61,1625.47998,4670,30610.830078,65070
734166,5145.700195,5540.330078,3688.790039,10414.290039,10120.459961,1084.530029,21603.1,10829.299805,937.22,6442.399902,2486.51001,1985.86,2994.14,1642.430054,4697.700195,30811.349609,65588
734167,5188.5,5608.790039,3739.459961,10198.040039,10067.330078,1073.869995,21896.3,10947.700195,953.713,6440.700195,2505.199951,2048.32,2989.29,1602.430054,4596.899902,30391.609375,65402
734171,5283.299805,5709.660156,3812.129883,10371.089844,10296.849609,1103.319946,22413.7,11140.900391,971.804,6550.100098,2547.110107,2058.41,2934.71,1595.810059,4628.799805,30876.650391,67163
734172,5253.200195,5672.089844,3793.469971,10404.330078,10270.549805,1097.280029,22169.2,10888.400391,970.003,6553.799805,2529.659912,2018.98,3003.83,1615.02002,4673.200195,31287.039062,67109
734173,5139.299805,5533.240234,3689.25,10355.980469,10002.179688,1063.109985,21404.8,10241.700195,948.621,6396.5,2454.899902,1951.7,2995.31,1616.420044,4644.100098,30603.710938,63934
734174,5060.899902,5434.339844,3563.76001,10057.089844,10012.230469,1066.189941,20815.9,10103.299805,935.894,6264.299805,2392.52002,1878.91,2939.4,1567.119995,4532.5,30630.730469,62763
734177,5092.299805,5484.850098,3607.27002,9951.820312,9908.389648,1056.73999,20938.2,10206.299805,938.416,6347.100098,2402.149902,1806.4,2935.17,1552.790039,4538.799805,30649.439453,63153
734178,5111.799805,5498.259766,3612.76001,9932.900391,10058.639648,1070.52002,20819,10275.400391,944.799,6314.799805,2413.179932,1895.96,2948.84,1570.48999,4520.700195,30818.480469,64718
734179,5132,5536.370117,3635.610107,9963.990234,10038.379883,1068.130005,21241.6,10455,937.05,6334,2440.790039,1940.82,2982.5,1570.119995,4533,30746.050781,65051
734181,5142.5,5500.390137,3599.070068,10092.19043,10099.139648,1075.51001,21035.9,10224.900391,931.347,6416.200195,2461.469971,1899.42,3018.13,1593.660034,4588.799805,31005.740234,65855
734186,5276.600098,5648.339844,3725.209961,10306.830078,10309.240234,1099.51001,21650.8,10498.599609,943.693,6567.600098,2512.840088,1858.49,3018.13,1627.430054,4686.799805,31892.119141,67285
734187,5325.100098,5680.410156,3747.830078,10335.69043,10392.900391,1106.75,21686.1,10574.200195,946.969,6637.299805,2518.409912,1882.1,3018.13,1621.189941,4673.899902,32170.789062,67836
734188,5358.200195,5722.049805,3769.540039,10123.580078,10402.349609,1109.170044,21772.3,10676.700195,957.267,6709.700195,2527.72998,1927.62,3018.13,1593.900024,4656.299805,32172.109375,67597
734191,5352.100098,5688.439941,3756.699951,10400.469727,10383.379883,1108.01001,21704.8,10570.5,954.102,6687.399902,2521.100098,1957.39,3003.4,1627.099976,4732.700195,32034.339844,67184
734192,5315.100098,5604.069824,3707.060059,10352.099609,10282.410156,1094.599976,21224.1,10312.900391,942.054,6649.100098,2502.889893,1922.69,2982.57,1628.900024,4731,31850.240234,66108
734193,5342.899902,5615.509766,3715.679932,10198.830078,10374.160156,1105.23999,21346.3,10254,944.308,6688,2514.939941,1926.81,3022.18,1612.829956,4666,31788.539062,65795
734194,5278.200195,5532.330078,3640.77002,10101.959961,10321.030273,1102.939941,20843.2,10126.200195,940.512,6644,2480.649902,1872.53,3060.62,1587.51001,4614.899902,31649.099609,66121
734195,5354.5,5598.459961,3708.800049,10126.030273,10325.259766,1104.48999,21068.3,10333.599609,947.387,6711,2514.870117,1913.16,3051.94,1594.579956,4651.100098,31634.539062,66503
734199,5484.100098,5776.560059,3811.919922,10221.839844,10405.980469,1118.310059,21326.3,10521.5,971.671,6820,2558.77002,2021.75,3073.11,1615.119995,4709.899902,32055.039062,67779
734200,5533.200195,5817.879883,3842.52002,10253.139648,10396.759766,1118.790039,21745.1,10664.5,981.185,6813.200195,2592.560059,2014.55,3097,1622.439941,4743.799805,32353.539062,67641
