Date,UK,Germany,France,Japan,DJI,SP500,Italy,Spain,Sweden,Switzerland,Belgium,Greece,China,Korea,Australia,Mexico,Brazil
730489,6665.899902,6586.950195,5672.02002,19002.859375,10997.929688,1399.420044,40314,11206.599609,1182.03,7268.100098,3172.209961,5588.65,1406.37,1059.040039,3124.100098,6675.27002,15851
730490,6535.899902,6502.069824,5479.700195,18542.550781,11122.650391,1402.109985,39452,10863.099609,1131.3,7181.299805,3057.530029,5369.38,1409.68,986.309998,3050.899902,6764.310059,16245
730492,6504.799805,6780.959961,5539.609863,18193.410156,11522.55957,1441.469971,40194,11102.400391,1152.54,7448,3138.550049,5410.82,1516.6,948.650024,3044.5,7047.089844,16309
730496,6518.899902,6891.25,5613.899902,18850.919922,11511.080078,1438.560059,39870,11012.400391,1190.34,7420.100098,3148.899902,5190.17,1479.78,981.330017,3164.600098,7143.129883,16573
730497,6532.799805,6912.810059,5582.5,18677.419922,11551.099609,1432.25,40289,10851.799805,1190.15,7440.200195,3110.25,5187.33,1438.02,955.01001,3104.600098,7174.100098,16617
730498,6531.5,6955.97998,5633.240234,18833.289062,11582.429688,1449.680054,40499,10931.900391,1195.48,7436.899902,3133.580078,5181.73,1424.44,951.049988,3095.800049,7274.52002,17298
730499,6658.200195,7173.220215,5787.439941,18956.550781,11722.980469,1465.150024,41588,11184,1217.95,7513.899902,3128.5,5273.83,1408.85,948.030029,3131.600098,7381.490234,17658
730503,6504.600098,7072.120117,5672.950195,19196.570312,11560.719727,1455.140015,41109,11066.299805,1215.4,7404.799805,2972.100098,5238.29,1426.62,981.530029,3151.199951,7303.319824,17903
730504,6445.5,7091.040039,5649.459961,18897.75,11489.360352,1455.900024,41436,11120.700195,1213.77,7336.799805,2977.530029,5067.31,1440.72,938.780029,3105.399902,7171.200195,17470
730505,6348.700195,7112.660156,5709.740234,19008.009766,11351.299805,1445.569946,41690,11047.599609,1217.73,7251.200195,2971.570068,5068.36,1466.86,945.900024,3137.100098,7036.790039,17177
730506,6346.299805,6992.75,5681.319824,18878.089844,11251.709961,1441.359985,41702,10969.299805,1218.19,7236,2930.969971,5102.12,1465.08,925.159973,3103.399902,6890.779785,17034
730509,6379.799805,6931.990234,5690.859863,19056.710938,11008.169922,1401.530029,42012,10955,1229.51,7127.899902,2925.350098,5081.95,1477.34,926.77002,3096.600098,6855.350098,16972
730511,6375.600098,6969.370117,5646.319824,19111.189453,11032.990234,1404.089966,41361,11031.400391,1226.31,6963.600098,2878.830078,4936.49,1481.12,885.539978,3078.600098,6918.939941,17105
730512,6441,7126.129883,5688.350098,19209.720703,11028.019531,1398.560059,41939,11206.599609,1214.75,7113.399902,2891.469971,4940.6,1506.77,909.22998,3083.399902,6854.390137,17081
730513,6375.600098,7066.600098,5731.049805,19434.779297,10738.870117,1360.160034,41854,11009.299805,1245.99,7029.600098,2884.600098,5020.22,1535,941.669983,3092.100098,6648.47998,16734
730516,6268.5,6835.600098,5659.810059,19539.699219,10940.530273,1394.459961,41463,10835.099609,1220.23,6894.700195,2806.290039,4990.02,1535,943.880005,3096,6585.669922,16388
730517,6290.899902,7050.459961,5773.419922,19423.380859,11041.049805,1409.280029,42403,10970,1261.15,7025.200195,2786.030029,5141.83,1535,928.75,3084.5,6740.52002,16522
730518,6302.799805,7171.950195,5946.859863,19578.910156,11003.200195,1409.119995,42993,11195.599609,1313.84,7097.399902,2789.580078,5209.24,1535,943.590027,3116.300049,6769.810059,16868
730519,6324.299805,7354.259766,6149.669922,19786.419922,11013.44043,1424.969971,43889,11544.099609,1318.61,7182.899902,2888.399902,5297.32,1535,950.219971,3135.100098,7043.100098,17457
730523,6118.600098,7296.319824,6203.580078,19945.429688,10905.790039,1424.23999,43730,11506.799805,1349.28,7131.299805,2891.620117,5489.3,1535,973.130005,3130.399902,7592.569824,18126
730524,6285.799805,7549.879883,6297.660156,19868.880859,10957.599609,1441.719971,45150,11834.799805,1362.08,7130.899902,2910.98999,5550.4,1535,961.219971,3124,7583.509766,18686
