Date,UK,Germany,France,Japan,DJI,SP500,Italy,Spain,Sweden,Switzerland,Belgium,Greece,China,Korea,Australia,Mexico,Brazil
731951,4513.299805,4035.899902,3608.290039,10825.169922,10544.070312,1122.219971,27530,7911.399902,644.55,5582.700195,2282.310059,2346.19,1568.35,824.099976,3296.5,9054.110352,23532
731953,4473,4004.399902,3563.51001,10757.820312,10529.030273,1126.329956,27187,7913.700195,635.47,5583.399902,2295.090088,2391.35,1587.2,827.070007,3309.899902,9098.219727,23320
731954,4494.200195,4045.429932,3592.72998,10837.650391,10592.44043,1131.920044,27503,7943.399902,647.7,5605.100098,2317.030029,2411.79,1610.13,824.150024,3304.600098,9169.80957,23717
731955,4466.299805,4016.179932,3574.800049,10965.049805,10458.889648,1121.859985,27441,7924.600098,650.48,5574.700195,2315.129883,2403.34,1581.47,845.27002,3307.100098,9102.820312,23917
731959,4440.100098,3996.219971,3576.179932,10849.679688,10427.179688,1121.219971,27393,7946.100098,655.1,5559.100098,2323.320068,2446.19,1612.68,848.429993,3300.800049,9141.580078,23940
731960,4461.399902,4055.209961,3612.550049,10863,10538.370117,1130.52002,27631,7978.100098,661.13,5624.299805,2346.459961,2482.35,1592.42,849.619995,3314.699951,9171.660156,23399
731961,4456.100098,4068.75,3626.969971,10665.150391,10553.849609,1132.050049,27742,7957.299805,665.12,5631,2357.649902,2481,1586.49,845.659973,3312.600098,9135.160156,22962
731962,4487.899902,4111.640137,3671.800049,10857.200195,10600.509766,1139.829956,27861,7979.299805,672.54,5694.5,2381.639893,2494.91,1600.43,847.950012,3298.100098,9193.80957,23155
731966,4499.299805,4106.410156,3660.189941,11103.099609,10528.660156,1138.77002,28040,7987.899902,671.25,5665.5,2372.179932,2436.81,1600.43,861.369995,3320.800049,9322.820312,23679
731973,4447,4134.419922,3697.419922,10928.030273,10609.919922,1144.050049,28240,8061.100098,675.18,5790.600098,2392.340088,2445.38,1600.43,863.030029,3324.699951,9612.139648,24226
731974,4468.100098,4150.240234,3706.790039,10852.469727,10468.370117,1128.47998,28308,8116.399902,672.1,5803.299805,2398.209961,2414.79,1600.43,859.590027,3292.199951,9551.129883,23852
731975,4411.5,4095.709961,3662.300049,10779.44043,10510.290039,1134.109985,28033,8013.100098,666.32,5768.200195,2381.899902,2391.73,1628.84,853.469971,3276.600098,9444.230469,22386
731976,4390.700195,4058.600098,3638.439941,10783.610352,10488.070312,1131.130005,27774,7929.899902,673.91,5736.399902,2383.76001,2432.58,1590.73,848.5,3283.600098,9428.769531,21851
731979,4381.399902,4071.600098,3665.02002,10776.730469,10499.179688,1135.26001,27840,7958.600098,670.48,5788.299805,2405.879883,2435.11,1623.88,854.890015,3287.199951,9633.860352,21787
731980,4390.600098,4057.51001,3638.209961,10641.919922,10505.179688,1136.030029,27655,7960.299805,669.87,5735,2390.090088,2416.56,1649.28,839.869995,3277.800049,9702.849609,22281
731981,4398.5,4028.370117,3607.570068,10447.25,10470.740234,1126.52002,27677,7888.799805,667.89,5775.600098,2379.77002,2418.87,1685.16,835.5,3279.800049,9674.179688,21685
731983,4402.700195,4044.98999,3624.719971,10460.919922,10593.030273,1142.76001,27587,8024.899902,687.59,5810.899902,2396.550049,2445.16,1679.19,850.22998,3285,9810.769531,21969
731986,4434.399902,4098.970215,3663.72998,10402.610352,10579.030273,1139.810059,27897,8135.200195,691.47,5869.799805,2413.669922,2417.75,1703.53,864.77002,3300,9882.349609,21962
731987,4405,4110.799805,3668.449951,10365.400391,10613.849609,1145.540039,27906,8171.899902,698.34,5880,2411.179932,2432.67,1691.01,866.799988,3301.199951,9804.94043,22171
731989,4377.700195,4121.649902,3681.560059,10459.259766,10694.070312,1152.109985,27880,8242.299805,694.13,5846.700195,2429.97998,2468.5,1663.83,877.950012,3339.899902,9960.049805,23063
