Date,UK,Germany,France,Japan,DJI,SP500,Italy,Spain,Sweden,Switzerland,Belgium,Greece,China,Korea,Australia,Mexico,Brazil
731588,3957.399902,3112.77002,3160.98999,8656.5,8740.589844,922.929993,24487,6349.299805,518.66,4887,2029.280029,1769.18,1332.06,652.200012,3043.199951,6279.279785,11876
731589,3924.800049,2993,3094.090088,8517.799805,8595.30957,909.929993,24199,6377.200195,504.78,4882.299805,1984.719971,1726.33,1372.07,651.719971,3042.399902,6266.47998,11786
731590,3934,3037.679932,3152.290039,8497.929688,8776.179688,927.570007,24521,6433,508.27,4857.899902,2003.349976,1721.94,1397.38,630.400024,3035.600098,6329.959961,11912
731591,3974.100098,3037.330078,3160.129883,8470.450195,8784.889648,927.570007,24414,6438.899902,514.67,4854.200195,1984.5,1703.79,1384.86,628.359985,3035,6353.029785,12243
731595,3945.600098,3098.719971,3174.030029,8553.05957,8842.620117,931.659973,24531,6589.200195,526.01,4965.299805,2009.76001,1715.91,1466.85,650.049988,3049,6407,12175
731596,3887.800049,3049.399902,3134.659912,8611.75,8723.179688,918.219971,24282,6566.799805,521.32,4860,2011.280029,1720.79,1459.92,648.289978,3049.600098,6398.899902,11971
731597,3881.800049,3054.110107,3142.590088,8609.169922,8697.870117,914.599976,24338,6610.600098,521.44,4829.200195,1990.579956,1726.76,1485.62,648.690002,3030.300049,6331.990234,11952
731598,3820.600098,2918.820068,3056.929932,8690.25,8586.740234,901.780029,23521,6458.200195,509.61,4753.600098,1959.52002,1689.59,1478.68,636.460022,3024.699951,6204.459961,11676
731602,3736.699951,2870.570068,2992.389893,8708.580078,8442.900391,887.619995,22845,6346.299805,508.64,4650.600098,1925.869995,1672.14,1454.89,632.859985,3024.100098,6092.129883,11435
731603,3678,2803.25,2931.379883,8611.040039,8318.730469,878.359985,22496,6249.700195,500.38,4520.200195,1885.680054,1669.69,1460.53,622.48999,2999.100098,6024.089844,11142
731604,3622.199951,2811.219971,2917.969971,8790.919922,8369.469727,887.340027,22425,6310.200195,497.97,4528.299805,1880.800049,1697.06,1450.62,625.179993,2997.800049,6054.439941,11162
731605,3603.699951,2717.820068,2898.600098,8731.650391,8131.009766,861.400024,22181,6268.899902,494.18,4477.399902,1873.069946,1720.99,1479.07,609.429993,3000.100098,6012.560059,10784
731609,3490,2671.360107,2800.070068,8525.389648,8088.839844,858.539978,21752,5955.399902,469.16,4303.5,1827.650024,1669.97,1500.64,600.559998,2940.5,5919.700195,10517
731610,3483.800049,2706.570068,2840.050049,8331.080078,8110.709961,864.359985,22000,5941,466.82,4332.200195,1809.619995,1665.66,1499.81,583.349976,2929.899902,5937.970215,10863
731611,3578.699951,2693.780029,2914.129883,8316.80957,7945.129883,844.609985,22425,6019.600098,479.68,4409,1835.650024,1671.13,1499.81,591.859985,2943,5870.509766,10751
731615,3689.399902,2751.98999,2957.790039,8500.790039,8109.819824,860.320007,22754,6017.200195,481.8,4471.899902,1880,1677.52,1499.81,600.409973,2920.5,6031.810059,10910
731616,3590.100098,2632.97998,2863.5,8484.900391,8013.290039,848.200012,22079,5872.899902,464,4354.299805,1838.430054,1667.19,1499.81,603.780029,2926.100098,5968.459961,10577
731618,3597,2649,2836.179932,8484.19043,7929.299805,838.150024,22215,5885.600098,474.25,4257.299805,1810.709961,1653.05,1499.81,589.5,2868.199951,5894.27002,10566
731619,3599.199951,2569.340088,2796.659912,8448.160156,7864.22998,829.690002,22235,5809.299805,466.97,4222.799805,1781.300049,1674.2,1499.81,577.47998,2886.100098,5866.029785,10381
731622,3579.100098,2586.090088,2772.26001,8484.929688,7920.109863,835.969971,22061,5787.600098,456.53,4155,1755.119995,1672.58,1480.17,577.25,2870.199951,5837.890137,10480
731624,3616.100098,2571.25,2770.620117,8664.169922,7758.169922,818.679993,22486,5840.200195,473.17,4152.200195,1765.339966,1677.32,1510.67,583.289978,2867.100098,5763.870117,10510
731625,3610.800049,2555.27002,2758.649902,8599.660156,7749.870117,817.369995,22452,5817.600098,474.3,4159.299805,1744.280029,1676.05,1504.34,575.669983,2820.5,5791.390137,10108
731626,3611.899902,2674.459961,2827.75,8701.919922,7908.799805,834.890015,22806,5972.799805,479.38,4273,1777.75,1679.43,1510.95,575.23999,2804.399902,5774.390137,10081
731630,3729.5,2740.139893,2938.629883,8692.969727,8041.149902,851.169983,23457,6165,499.17,4325.399902,1830.319946,1693.78,1496.47,603.450012,2828.899902,5880.009766,10450
731631,3658.300049,2624.649902,2859.189941,8678.44043,8000.600098,845.130005,22937,6036.799805,491.29,4210.899902,1802.619995,1693.44,1510.8,600.830017,2849.899902,5857.350098,10252
731632,3687.300049,2591.26001,2804.48999,8650.919922,7914.959961,837.099976,22859,5989.299805,479.98,4214,1784.119995,1692.97,1509.49,605.51001,2806.5,5880.899902,10217
731633,3727.100098,2648.870117,2829.830078,8513.540039,8018.109863,848.169983,23264,6043.200195,478.19,4228.700195,1773.130005,1680.46,1478.87,603.599976,2804.399902,5956.970215,10331
731636,3701.800049,2571.350098,2785.610107,8564.950195,7858.240234,832.580017,23325,5952.100098,474.47,4181.299805,1722.949951,1663.52,1481.94,616.289978,2837.300049,5913.680176,10254
731637,3621.5,2485.5,2683.370117,8360.490234,7909.5,838.570007,22735,5803.200195,461.46,4095.800049,1670.189941,1623.34,1511.28,592.25,2780.5,5869.209961,10192
731638,3593.300049,2450.199951,2658.570068,8356.80957,7806.97998,827.549988,22647,5782,459.1,4052,1627.949951,1617.37,1513.18,590.26001,2804.199951,5869.790039,9995
731639,3569.899902,2513.219971,2715.800049,8359.379883,7884.990234,837.280029,23150,5887.700195,464,4083.699951,1630.650024,1613.58,1513.7,582.460022,2774.699951,5900.02002,10126
731640,3655.600098,2547.050049,2754.070068,8363.040039,7891.080078,841.150024,23279,5999.399902,469.97,4148.200195,1671.959961,1614.06,1511.93,575.429993,2778.399902,5927.060059,10281
731645,3563.5,2498.02002,2655.070068,8472.620117,7775.600098,829.849976,22440,5879.799805,459.64,3966.199951,1608.089966,1564.49,1517.18,560.26001,2749.699951,5914.410156,10306
731646,3555.399902,2437.51001,2634.530029,8369.150391,7673.990234,822.099976,21830,5816.899902,457.71,3962.600098,1578.540039,1567.63,1498.34,555.330017,2747,5913.919922,10615
731647,3491.600098,2431.659912,2574.909912,8144.120117,7740.029785,828.890015,21488,5716.5,452.03,3880.300049,1530.160034,1540.74,1493.09,546.02002,2715,5907.930176,10724
731650,3436.100098,2329.040039,2513.610107,8042.259766,7568.180176,807.47998,21019,5569.399902,446,3732.100098,1491.869995,1540.74,1468.92,544.23999,2711.100098,5859.77002,10309
731651,3452.699951,2305.300049,2493.419922,7862.430176,7524.060059,800.72998,21022,5606.399902,440.82,3718.899902,1463.410034,1501.9,1469.55,532.530029,2691.699951,5821.100098,10340
731652,3287,2202.959961,2403.040039,7943.040039,7552.069824,804.190002,20324,5452.399902,432.36,3675.399902,1426.589966,1477.91,1475.01,531.809998,2687.100098,5809.970215,10577
731653,3486.899902,2354.310059,2554.709961,7868.560059,7821.75,831.900024,21132,5670.700195,450.74,3793.300049,1566.160034,1506.43,1464.65,531.780029,2673.300049,5931.959961,10783
731654,3601.800049,2403.189941,2740.01001,8002.689941,7859.709961,833.27002,21920,5904.899902,465.77,4015.399902,1679.469971,1513.88,1466.04,537.650024,2724.199951,5993.009766,10817
731657,3722.300049,2487.120117,2831.72998,7871.640137,8141.919922,862.789978,22452,6064.5,484,4130.5,1731.689941,1488.49,1469.27,515.23999,2711,6009.919922,10875
731658,3747.300049,2584.610107,2794.889893,7954.459961,8194.230469,866.450012,22208,6089.600098,485.22,4165.799805,1684.119995,1538.15,1459.89,537.309998,2804.399902,6042.759766,11151
731659,3765.399902,2615.219971,2837.679932,8051.040039,8265.450195,874.02002,22542,6171.299805,490.4,4261.799805,1706.439941,1543.29,1469.96,541.780029,2814.699951,6017.430176,11006
731660,3765.699951,2604.850098,2794.830078,8195.049805,8286.599609,875.669983,22237,6102.100098,494.14,4285.200195,1700.650024,1538.89,1464.54,568.460022,2835.800049,6048.410156,11159
731664,3743.300049,2548.370117,2726.850098,8435.070312,8214.679688,864.22998,22205,6005,489.38,4230.700195,1688.51001,1549.21,1477.77,569.849976,2828.5,5924.339844,11053
731665,3762,2636.100098,2795.790039,8238.759766,8280.230469,874.73999,22589,6123.799805,489.3,4263.600098,1704.369995,1549.21,1462.4,554.97998,2822.199951,5937.990234,11232
731666,3793.100098,2579.330078,2787.560059,8351.919922,8229.879883,869.950012,22574,6142.799805,486.82,4247.100098,1719.359985,1551.8,1456.27,554.789978,2858.399902,5952.379883,11206
731667,3729.100098,2584.050049,2722.840088,8368.669922,8201.450195,868.52002,22196,6022.399902,478.9,4194.5,1683.949951,1539.4,1499.35,549.26001,2855,5951.339844,11233
731668,3708.5,2520.840088,2733,8280.160156,8145.77002,863.5,22301,6029.200195,475.39,4207.600098,1681.160034,1517.94,1491.94,556.330017,2861.199951,5947.47998,11396
731671,3613.300049,2423.870117,2618.459961,7972.709961,7992.129883,848.179993,21605,5870.5,457.78,4085.600098,1635.219971,1467.3,1510.58,535.700012,2848.600098,5914.029785,11274
731672,3684.800049,2450.189941,2635.040039,7986.720215,8069.859863,858.47998,21803,5953.200195,461.69,4135.5,1650.589966,1474.65,1522.55,538.559998,2844.199951,5895.759766,11592
731673,3753.399902,2589.350098,2743.879883,8069.850098,8285.05957,880.900024,22476,6174.5,480.45,4272.100098,1718.22998,1507.39,1521.32,542.919983,2847.399902,6008.509766,11872
