Date,UK,Germany,France,Japan,DJI,SP500,Italy,Spain,Sweden,Switzerland,Belgium,Greece,China,Korea,Australia,Mexico,Brazil
733046,6287,6674.399902,5574.560059,17353.669922,12480.69043,1418.339966,41842,14382.400391,1149.58,8925.200195,4421.259766,4536.69,2715.72,1397.290039,5563.899902,26566.279297,44020
733047,6220.100098,6593.089844,5517.350098,17091.589844,12398.009766,1409.709961,41597,14304.700195,1147.22,8900.200195,4381.560059,4560.14,2641.33,1385.76001,5549.799805,26135.599609,42245
733051,6196.100098,6614.370117,5533.029785,17237.769531,12416.599609,1412.109985,41566,14311.5,1143.09,8874,4426.149902,4584.23,2807.8,1374.339966,5564.100098,25783.039062,42007
733052,6160.700195,6566.560059,5501.950195,16942.400391,12442.160156,1414.849976,41360,14116.099609,1133.05,8861.599609,4405.870117,4507.44,2825.58,1355.790039,5502.100098,25885.800781,42336
733053,6230.100098,6687.299805,5609.799805,16838.169922,12514.980469,1423.819946,41942,14328.799805,1160.04,8987.900391,4473.580078,4562.6,2770.11,1365.310059,5542.700195,26247.900391,42670
733054,6239,6705.169922,5617.620117,17057.009766,12556.080078,1430.72998,42111,14368.200195,1159.46,9032.799805,4485.890137,4615.47,2668.11,1388.369995,5611.899902,26324.380859,43095
733058,6215.700195,6716.819824,5591.540039,17202.460938,12582.589844,1431.900024,42115,14355.599609,1170.63,9073,4468.279785,4612.59,2821.02,1389.709961,5650.399902,26480.330078,42624
733059,6204.5,6701.700195,5561.779785,17261.349609,12577.150391,1430.619995,41749,14295,1175.9,9104.599609,4464.859863,4615.48,2778.9,1379.47998,5626.100098,26558.5,42735
733060,6210.299805,6689.620117,5555.040039,17370.929688,12567.929688,1426.369995,41711,14265.299805,1173.59,9099.299805,4467.390137,4675.54,2756.98,1383.209961,5650.799805,26112.869141,42478
733061,6237.200195,6747.169922,5614.700195,17310.439453,12565.530273,1430.5,42123,14397.900391,1180.57,9155.099609,4472.72998,4678.31,2832.21,1360.560059,5652.100098,26213.380859,43428
733064,6218.399902,6687.310059,5579.779785,17424.179688,12477.160156,1422.949951,42002,14359.700195,1181.35,9102.200195,4457.009766,4676.66,2933.19,1363.410034,5704,26432.25,43553
733065,6227.600098,6678.930176,5575.069824,17408.570312,12533.799805,1427.98999,42106,14368.599609,1175.13,9105.5,4429.379883,4634.2,2949.14,1363.089966,5714.100098,26810,44177
733066,6314.799805,6748.370117,5638.080078,17507.400391,12621.769531,1440.130005,42566,14540.700195,1177.89,9153.099609,4465.149902,4698.21,2975.13,1383.060059,5749.100098,27338.300781,44687
733068,6228,6690.339844,5582.299805,17421.929688,12487.019531,1422.180054,42184,14415.400391,1177.35,9041.099609,4399.870117,4688.67,2882.56,1371.329956,5753.299805,27045.710938,44412
733071,6239.899902,6726.009766,5619.700195,17470.460938,12490.780273,1420.619995,42259,14507,1178.88,9110.799805,4415.169922,4695.04,2945.26,1363.099976,5744,26834.050781,43573
733072,6242,6788.22998,5645.589844,17490.189453,12523.30957,1428.819946,42290,14553.400391,1190.26,9147,4435.97998,4673.45,2930.56,1370.719971,5791.5,27135.369141,44044
733073,6203.100098,6789.109863,5608.310059,17383.419922,12621.69043,1438.23999,42197,14553.200195,1185.98,9135.099609,4433.569824,4710.24,2786.33,1360.22998,5757.700195,27561.490234,44642
733074,6282.200195,6851.279785,5662.25,17519.5,12673.679688,1445.939941,42461,14571.5,1191.71,9217.900391,4467.810059,4754.06,2785.43,1382.900024,5796.799805,27842.759766,44815
733075,6310.899902,6885.759766,5677.299805,17547.109375,12653.490234,1448.390015,42596,14631.200195,1187.09,9260.5,4507.290039,4779.71,2673.21,1413.140015,5814.399902,27933.070312,44998
733079,6346.299805,6875.700195,5676.779785,17406.859375,12666.30957,1448,42617,14703.200195,1201.03,9266.200195,4530.100098,4762.17,2675.7,1428.579956,5848.5,28067.400391,45352
733080,6369.5,6915.560059,5703,17292.320312,12666.870117,1450.02002,42868,14854.599609,1206.02,9288.200195,4544.930176,4729.91,2716.18,1426.290039,5870.899902,28123.759766,44588
733081,6346.399902,6876.72998,5665.100098,17292.480469,12637.629883,1448.310059,42487,14826,1193.62,9229.299805,4505.850098,4705.03,2737.73,1423.579956,5872.899902,28197.259766,44892
733082,6382.799805,6911.109863,5692.450195,17504.330078,12580.830078,1438.060059,42744,14875.5,1201.15,9292.099609,4518.830078,4688.54,2730.39,1427.680054,5899.299805,27906.890625,44284
733086,6381.799805,6895.339844,5682.689941,17621.449219,12654.849609,1444.26001,42650,14824.599609,1190.1,9240,4528.089844,4647.49,2831.87,1418.439941,5907.299805,28262.650391,45197
733087,6421.200195,6961.180176,5725.839844,17752.640625,12741.860352,1455.300049,42898,14905.700195,1212.24,9299.200195,4547.830078,4699,2905.09,1436.099976,5937.700195,28539.689453,45996
733088,6433.299805,6958.620117,5720.879883,17897.230469,12765.009766,1456.810059,42876,14876.900391,1220.37,9305.400391,4544.740234,4732.76,2993.01,1443.630005,5969.100098,28498.75,45955
733089,6419.5,6957.069824,5713.589844,17875.650391,12767.570312,1455.540039,42879,14851.200195,1215.04,9336.299805,4532.75,4722.78,2998.47,1448.810059,5935.5,28491.070312,45849
733099,6434.700195,7027.589844,5762.540039,18215.349609,12632.259766,1449.369995,42849,14856.099609,1229.65,9223,4519.029785,4757.77,3040.6,1470.030029,6021.899902,28046.160156,46207
733100,6286.100098,6819.649902,5588.390137,18119.919922,12216.240234,1399.040039,41616,14408.299805,1183.07,8909.799805,4387.370117,4565.08,2771.79,1454.599976,5977.600098,26418.820312,43145
733101,6171.5,6715.439941,5516.319824,17604.119141,12268.629883,1406.819946,41155,14248.400391,1157.84,8789.700195,4305.22998,4503.96,2881.07,1417.339966,5816.5,26638.949219,43892
733103,6116.200195,6603.319824,5424.700195,17217.929688,12114.099609,1387.170044,40574,13962.200195,1159.55,8798.700195,4272.02002,4376.3,2831.53,1414.469971,5775.200195,26321.119141,42370
733106,6058.700195,6534.569824,5385.029785,16642.25,12050.410156,1374.119995,40157,13749.099609,1147.93,8676.900391,4218.169922,4344.79,2785.31,1376.150024,5642.399902,25788.369141,41179
733107,6138.5,6595,5437.129883,16844.5,12207.589844,1395.410034,40374,13825.900391,1148.57,8775.599609,4249.609863,4406.55,2840.18,1402.930054,5749.899902,26355.640625,43218
733108,6156.5,6617.75,5455.069824,16764.619141,12192.450195,1391.969971,40370,13912.700195,1164.44,8878.400391,4301.189941,4470.73,2896.59,1410.949951,5803.299805,26184.390625,42667
733109,6227.700195,6713.22998,5524.259766,17090.310547,12260.700195,1401.890015,40897,14194,1187.24,8955.700195,4369.549805,4533.35,2928.01,1423.890015,5799.600098,26773.789062,43466
733110,6245.200195,6716.52002,5537.839844,17164.039062,12276.320312,1402.839966,40882,14257.200195,1188.88,8933.900391,4378.279785,4556.62,2937.91,1423.579956,5810.200195,27106.529297,44133
733113,6233.299805,6715.490234,5496.069824,17292.390625,12318.620117,1406.599976,40697,14146.5,1191.53,8899.400391,4359.77002,4544.74,2954.91,1441.329956,5868.100098,27261.169922,44249
733114,6161.200195,6623.990234,5432.939941,17178.839844,12075.959961,1377.949951,40277,13982.900391,1175.75,8829.099609,4301.779785,4485.56,2964.79,1436.050049,5844,26589.199219,42749
