Date,UK,Germany,France,Japan,DJI,SP500,Italy,Spain,Sweden,Switzerland,Belgium,Greece,China,Korea,Australia,Mexico,Brazil
732681,5714.600098,5523.620117,4838.52002,16361.540039,10880.150391,1273.459961,36336,10895.799805,973.61,7723.700195,3638.459961,3754.71,1180.96,1402.109985,4765.100098,18669.230469,35002
732682,5691.200195,5516.529785,4835.089844,16425.369141,10882.150391,1273.47998,36085,10913.599609,972.89,7703.299805,3639.330078,3767.91,1197.27,1395.51001,4757.899902,18608.339844,34936
732683,5731.799805,5536.319824,4867.149902,16428.210938,10959.30957,1285.449951,36365,10913.599609,972.89,7718.5,3643.73999,3767.91,1209.42,1412.780029,4736.399902,18736.779297,35475
732687,5688.799805,5494.709961,4861.930176,16124.349609,11011.580078,1289.689941,36147,10869.900391,975.42,7663.700195,3638.090088,3844.79,1220.62,1396.290039,4761.700195,18912.380859,35049
732688,5731.5,5532.890137,4890.490234,16363.589844,11043.44043,1294.180054,36548,10966.200195,979.78,7752.100098,3663.149902,3877.23,1211.05,1394.089966,4781.100098,19160.439453,35952
732689,5735.200195,5542.129883,4890.240234,16445.189453,10962.360352,1286.060059,36661,10955.799805,976.02,7798.100098,3676.22998,3885.23,1226.7,1402.579956,4781.700195,18925.009766,35779
732690,5711,5483.089844,4850.529785,16454.949219,10959.870117,1287.609985,36265,10850.700195,967.26,7802.5,3672.040039,3889.33,1221.46,1416.280029,4784.299805,18889.199219,35897
732694,5699,5460.160156,4807.140137,15805.950195,10896.320312,1282.930054,36352,10806.299805,960.77,7785.600098,3646.77002,3946.91,1208.44,1389.579956,4817.299805,18489.630859,36119
732695,5663.700195,5395.609863,4772.089844,15341.179688,10854.860352,1277.930054,36024,10708.099609,941.61,7726.5,3638.97998,3893.96,1233.35,1352.910034,4739.799805,18265.960938,35805
732696,5693.200195,5430.839844,4814.089844,15696.280273,10880.709961,1285.040039,36086,10821.5,943.44,7771.600098,3674.040039,3968.05,1251.58,1360.640015,4790.899902,18521.449219,36858
732697,5672.399902,5349.02002,4773.47998,15696.69043,10667.389648,1261.48999,35681,10740.900391,935.87,7697.5,3656.969971,3994.06,1255.31,1324.780029,4806.100098,18346.230469,36695
732700,5660.899902,5348.720215,4751.990234,15360.650391,10688.769531,1263.819946,35787,10712.200195,935.14,7702.700195,3651,3955.67,1255.77,1297.430054,4766.600098,18447.109375,36632
732701,5633.799805,5334.299805,4748.319824,15648.889648,10712.219727,1266.859985,35652,10665.599609,929.22,7692.600098,3654.179932,4019.92,1252.06,1326.829956,4779.799805,18875.410156,37400
732704,5786.799805,5647.419922,4956.600098,16460.679688,10907.209961,1283.719971,36701,11023.200195,959.35,7779.399902,3760.379883,3958.7,1258.05,1384.560059,4867.299805,18956.5,37822
732708,5760.299805,5674.149902,4947.990234,16649.820312,10864.860352,1280.079956,36654,11104.299805,961.98,7810.899902,3744.629883,3977.84,1258.05,1399.829956,4880.200195,18907.099609,38383
732709,5801.600098,5726.529785,4999.390137,16480.089844,10953.950195,1282.459961,36967,11221.099609,968.9,7836.200195,3776.159912,4007.35,1258.05,1375.969971,4903.899902,19162.380859,38485
732710,5747.299805,5649.600098,4927.890137,16710.550781,10851.980469,1270.839966,36472,11136,969.68,7785.899902,3769.26001,4057.84,1258.05,1374.439941,4855.399902,19060.380859,37304
732711,5759.299805,5657.120117,4937.560059,16659.640625,10793.620117,1264.030029,36408,11175.799805,963.14,7840.799805,3766.429932,4048.72,1258.05,1333.5,4832.100098,18862.179688,37262
732715,5746.799805,5672.919922,4935.399902,16720.990234,10749.759766,1254.780029,36711,11175.099609,961.71,7837.299805,3781.310059,4104.84,1282.1,1332.280029,4850.299805,18665.060547,36562
732716,5725.100098,5666.410156,4895.080078,16272.679688,10858.620117,1265.650024,36650,11202.599609,965.81,7831.899902,3774.969971,4118.28,1290.06,1310.98999,4777,18410.240234,36499
732717,5808.799805,5743.680176,4955.740234,16439.669922,10883.349609,1263.780029,37071,11344.900391,977.4,7873.600098,3806.77002,4170.89,1269.45,1321.660034,4820.200195,18518.330078,36882
732718,5764.100098,5701.470215,4910.819824,16257.830078,10919.049805,1266.98999,36718,11312.599609,968.57,7861.600098,3793.909912,4148.58,1282.66,1335.22998,4817.700195,18298.580078,36975
732721,5793.5,5756.330078,4957.359863,15877.660156,10892.320312,1262.859985,36964,11395.5,973.37,7889.299805,3785.340088,4091.44,1279.64,1320.790039,4765.100098,17883.630859,36114
732722,5792.299805,5763.399902,4961.339844,16184.870117,11028.389648,1275.530029,36866,11395.900391,977.83,7882.399902,3774.159912,4066.61,1286.33,1328.209961,4808.200195,18023.009766,36627
732723,5791.5,5764.370117,4934.089844,15932.830078,11058.969727,1280,36933,11377.400391,976.12,7797.200195,3770.77002,4057.4,1299.17,1303.839966,4781.5,18169.160156,37239
732724,5828.899902,5789.25,4973.089844,16043.669922,11120.679688,1289.380005,37234,11447.200195,983.58,7906.600098,3782.47998,4095.17,1270.63,1314.319946,4766.899902,18457.240234,38256
732725,5846.200195,5795.47998,5000,15713.450195,11115.320312,1287.23999,37401,11491.299805,982.89,7917.100098,3794.570068,4116.27,1267.41,1332.72998,4748.5,18480.779297,38422
732729,5857.700195,5801.040039,4991.930176,15894.94043,11069.05957,1283.030029,37688,11626.900391,993.51,8002.600098,3835.469971,4181.93,1288.42,1346.48999,4830.200195,18497.380859,38166
732730,5872.399902,5862.060059,5041.600098,15781.780273,11137.169922,1292.670044,38076,11755.299805,1001.06,8040.5,3900.100098,4221.28,1284.23,1340.579956,4842.5,18780.460938,38246
732731,5836,5857.879883,5040.390137,16096.099609,11069.219727,1287.790039,37972,11739,1001.66,7983.799805,3901.780029,4237.34,1288.85,1361.22998,4867.299805,19117.720703,38405
732732,5860.5,5870.790039,5073.950195,16101.910156,11061.849609,1289.430054,38121,11786.900391,1010.74,7954.299805,3929.120117,4245.14,1296.87,1365.819946,4849.399902,19100.890625,38610
732738,5833,5783.490234,5009.089844,15909.759766,11025.509766,1289.140015,37330,11809.599609,1005.82,7926.200195,3852.439941,4062.87,1285.67,1367.699951,4864.399902,19102.330078,39126
