 % Element  <-----  Nodes  -----> 
     1       1     2     7     6
     2       2     3     8     7
     3       3     4     9     8
     4       4     5    10     9
     5       5   101   102    10
     6       6     7    12    11
     7       7     8    13    12
     8       8     9    14    13
     9       9    10    15    14
    10      10   102   103    15
    11      11    12    17    16
    12      12    13    18    17
    13      13    14    19    18
    14      14    15    20    19
    15      15   103   104    20
    16      16    17    22    21
    17      17    18    23    22
    18      18    19    24    23
    19      19    20    25    24
    20      20   104   105    25
    21      21    22    27    26
    22      22    23    28    27
    23      23    24    29    28
    24      24    25    30    29
    25      25   105   106    30
    26      26    27    32    31
    27      27    28    33    32
    28      28    29    34    33
    29      29    30    35    34
    30      30   106   107    35
    31      31    32    37    36
    32      32    33    38    37
    33      33    34    39    38
    34      34    35    40    39
    35      35   107   108    40
    36      36    37    42    41
    37      37    38    43    42
    38      38    39    44    43
    39      39    40    45    44
    40      40   108   109    45
    41      41    42    47    46
    42      42    43    48    47
    43      43    44    49    48
    44      44    45    50    49
    45      45   109   110    50
    46      46    47    52    51
    47      47    48    53    52
    48      48    49    54    53
    49      49    50    55    54
    50      50   110   111    55
    51      51    52    57    56
    52      52    53    58    57
    53      53    54    59    58
    54      54    55    60    59
    55      55   111   112    60
    56      56    57    62    61
    57      57    58    63    62
    58      58    59    64    63
    59      59    60    65    64
    60      60   112   113    65
    61      61    62    67    66
    62      62    63    68    67
    63      63    64    69    68
    64      64    65    70    69
    65      65   113   114    70
    66      66    67    72    71
    67      67    68    73    72
    68      68    69    74    73
    69      69    70    75    74
    70      70   114   115    75
    71      71    72    77    76
    72      72    73    78    77
    73      73    74    79    78
    74      74    75    80    79
    75      75   115   116    80
    76      76    77    82    81
    77      77    78    83    82
    78      78    79    84    83
    79      79    80    85    84
    80      80   116   117    85
    81      81    82    87    86
    82      82    83    88    87
    83      83    84    89    88
    84      84    85    90    89
    85      85   117   118    90
    86      86    87    92    91
    87      87    88    93    92
    88      88    89    94    93
    89      89    90    95    94
    90      90   118   119    95
    91      91    92    97    96
    92      92    93    98    97
    93      93    94    99    98
    94      94    95   100    99
    95      95   119   120   100
    96      96    97     2     1
    97      97    98     3     2
    98      98    99     4     3
    99      99   100     5     4
   100     100   120   101     5
